simulation,n_months,pnl_p5,pnl_p10,pnl_p25,pnl_p50,pnl_p75,pnl_p90,pnl_p95,pnl_mean,pnl_std,sharpe_p5,sharpe_p10,sharpe_p25,sharpe_p50,sharpe_p75,sharpe_p90,sharpe_p95,sharpe_mean,sharpe_std,maxdd_p5,maxdd_p10,maxdd_p25,maxdd_p50,maxdd_p75,maxdd_p90,maxdd_p95,maxdd_mean,maxdd_std,ruin_prob
fold_bootstrap_12m,12,76736.63516003464,81980.13639592864,93343.93508543691,128765.0469228131,153702.1010004617,184972.72238248936,214613.58804331569,130572.75632152062,42370.95281918575,2.674075703106332,2.7873149662867336,3.00706304360532,3.319135305610799,7.987368068186546,11.006906997990377,12.676357521423718,5.4588671218420854,3.592880202610164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fold_bootstrap_24m,24,172301.93324889528,185866.86873178656,217326.2564187206,257608.70089605323,302595.95737821073,345280.27323867794,368537.83197023114,261604.24886375488,60194.764732630494,2.7521305575751733,2.836159104514148,2.9873119044827936,3.1737763746657546,3.5154712863845425,7.849331929213388,9.411064456365686,3.957309201628761,2.127284066077883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trade_bootstrap_12m,12,50738.71036120683,55892.867620815225,66001.1576981034,77406.11946648147,90641.23996983781,103045.5541514752,111343.71200226225,78772.3454912863,18333.83753068982,3.335433554115272,3.602653016979958,4.10139571385045,4.7286596607939515,5.45554509117191,6.2693785620496,6.8793239619317825,4.865130941142824,1.117623034973658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009089253879611443,0.4825133107184361,0.0
