flip_probability,mean_pnl,p5_pnl,p50_pnl,p95_pnl,prob_negative
0.0,271760.5300696375,271760.5300696376,271760.5300696376,271760.5300696376,0.0
0.02,263736.9280696377,255876.73006963768,264537.5300696377,270047.78006963775,0.0
0.05,251219.10506963715,239067.83006963707,252575.03006963705,260822.8300696371,0.0
0.08,239327.22206963677,225535.03006963685,239787.03006963685,251438.1800696368,0.0
0.1,231606.90106963748,214262.88006963785,231845.03006963723,247269.13006963753,0.0
0.15,211620.3880696381,193057.2300696382,212121.53006963813,228882.23006963817,0.0
0.2,191443.68406963785,169883.0800696379,192093.5300696378,211404.33006963794,0.0
