month,pnl_mean,ppt_mean,crps_mean
1,9132.04,16.01,4.35
2,10777.18,22.61,4.33
3,7643.59,23.41,4.04
4,5296.33,14.07,3.72
5,6572.39,12.0,3.18
6,4569.83,8.8,3.02
7,6583.63,12.69,2.9
8,4731.17,9.07,3.12
9,10701.57,19.7,2.93
10,9246.67,18.34,3.25
11,5754.31,11.63,3.93
12,6862.52,12.32,3.99
